TeamName,Encoding
Everton,0
Wolves,1
Wolverhampton,1
Wolverhampton Wanderers,1
Arsenal,2
Tottenham,3
Tottenham Hotspur,3
Hull,4
Sheffield Weds,5
Blackburn,6
Nott'm Forest,7
Nottingham Forest,7
Leeds,8
West Brom,9
Middlesbrough,10
Preston,11
Stoke,12
Huddersfield,13
Reading,14
Fulham,15
Wigan,16
Birmingham,17
Barnsley,18
Bristol City,19
Leicester,20
Man United,21
Man Utd,21
Manchester Utd,21
Manchester United,21
Aston Villa,22
Norwich,23
Sheffield United,24
Sheffield Utd,24
Luton,25
Brentford,26
Cardiff,27
QPR,28
Charlton,29
Swansea,30
Millwall,31
Derby,32
Brighton,33
Man City,34
Southampton,35
Burnley,36
West Ham,37
Newcastle,38
Watford,39
Chelsea,40
Bournemouth,41
Doncaster,42
Burton,43
Liverpool,44
Milton Keynes Dons,45
Tranmere,46
Portsmouth,47
Oxford,48
Rochdale,49
Bristol Rvs,50
Sunderland,51
Southend,52
Wycombe,53
Shrewsbury,54
Coventry,55
Accrington,56
Bolton,57
Fleetwood Town,58
Blackpool,59
Peterboro,60
AFC Wimbledon,61
Lincoln,62
Gillingham,63
Rotherham,64
Ipswich,65
Crystal Palace,66
Crewe,67
Swindon,68
Northampton,69
Plymouth,70
Cambridge,71
Cheltenham,72
Morecambe,73
Carlisle,74
Exeter,75
Leyton Orient,76
Stevenage,77
Port Vale,78
