id,date,status,league_name,league_type,stage,home_team,home_team_id,away_team,away_team_id,score_home_ht,score_away_ht,score_home_ft,score_away_ft
436197,2024-05-02T18:30:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Chelsea,61,Tottenham,73,1,0,2,0
436300,2024-05-03T19:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Luton Town,389,Everton,62,1,1,1,1
436293,2024-05-04T11:30:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Arsenal,57,Bournemouth,1044,1,0,3,0
436294,2024-05-04T14:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Brentford,402,Fulham,63,0,0,0,0
436296,2024-05-04T14:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Burnley,328,Newcastle,67,0,3,1,4
436302,2024-05-04T14:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Nottingham,351,1,1,1,3
436301,2024-05-04T16:30:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Man City,65,Wolverhampton,76,3,0,5,1
436295,2024-05-05T13:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Aston Villa,58,0,0,1,0
436297,2024-05-05T13:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Chelsea,61,West Ham,563,3,0,5,0
436299,2024-05-05T15:30:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Liverpool,64,Tottenham,73,2,0,4,2
436298,2024-05-06T19:00:00Z,FINISHED,Premier League,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man United,66,2,0,4,0
